sample_id	lanelet_id	sequencescape_id	sanger_id	diff_start	salmonella_date	accession	full_name
ieki_D	16596_2#49	2288008	3226STDY6100853	2015-03-02	2015-04-14	SAMEA103885157	HPSI1113i-ieki_2 derived macrophage day 43 with salmonella and IFNg
iicq_A	16596_2#50	2288009	3226STDY6100854	2015-02-26	2015-04-08	SAMEA103885248	HPSI0813i-iicq_1 derived macrophage day 41 untreated
iicq_B	16596_2#51	2288010	3226STDY6100855	2015-02-26	2015-04-08	SAMEA103884976	HPSI0813i-iicq_1 derived macrophage day 41 with IFNg
iicq_C	16596_2#52	2288011	3226STDY6100856	2015-02-26	2015-04-08	SAMEA103885324	HPSI0813i-iicq_1 derived macrophage day 41 with salmonella
iicq_D	16596_2#53	2288012	3226STDY6100857	2015-02-26	2015-04-08	SAMEA103885144	HPSI0813i-iicq_1 derived macrophage day 41 with salmonella and IFNg
nibo_A	16596_2#54	2288013	3226STDY6100858	2015-02-02	2015-03-25	SAMEA103885313	HPSI1113i-nibo_2 derived macrophage day 51 untreated
nibo_B	16596_2#55	2288014	3226STDY6100859	2015-02-02	2015-03-25	SAMEA103884981	HPSI1113i-nibo_2 derived macrophage day 51 with IFNg
nibo_C	16596_2#56	2288015	3226STDY6100860	2015-02-02	2015-03-25	SAMEA103885222	HPSI1113i-nibo_2 derived macrophage day 51 with salmonella
nibo_D	16596_2#57	2288016	3226STDY6100861	2015-02-02	2015-03-25	SAMEA103885375	HPSI1113i-nibo_2 derived macrophage day 51 with salmonella and IFNg
vass_A	16596_2#58	2288017	3226STDY6100862	2015-03-29	2015-04-24	SAMEA103884943	HPSI0114i-vass_1 derived macrophage day 26 untreated
vass_B	16596_2#59	2288018	3226STDY6100863	2015-03-29	2015-04-24	SAMEA103885245	HPSI0114i-vass_1 derived macrophage day 26 with IFNg
vass_C	16596_2#60	2288019	3226STDY6100864	2015-03-29	2015-04-24	SAMEA103885175	HPSI0114i-vass_1 derived macrophage day 26 with salmonella
vass_D	16596_2#61	2288020	3226STDY6100865	2015-03-29	2015-04-24	SAMEA103885322	HPSI0114i-vass_1 derived macrophage day 26 with salmonella and IFNg
ougl_A_2	16667_1#62	2288021	3226STDY6100866	2015-02-01	2015-03-25	SAMEA103885349	HPSI0413i-ougl_3 derived macrophage replicate 2 day 52 untreated
ougl_B_2	16596_2#63	2288022	3226STDY6100867	2015-02-01	2015-03-25	SAMEA103885000	HPSI0413i-ougl_3 derived macrophage replicate 2 day 52 with IFNg
ougl_C_2	16596_2#64	2288023	3226STDY6100868	2015-02-01	2015-03-25	SAMEA103885395	HPSI0413i-ougl_3 derived macrophage replicate 2 day 52 with salmonella
ougl_D_2	16596_2#65	2288024	3226STDY6100869	2015-02-01	2015-03-25	SAMEA103885221	HPSI0413i-ougl_3 derived macrophage replicate 2 day 52 with salmonella and IFNg
nusw_A	16596_2#66	2288025	3226STDY6100870	2015-02-23	2015-04-01	SAMEA103884960	HPSI1213i-nusw_2 derived macrophage day 37 untreated
nusw_B	16596_2#67	2288026	3226STDY6100871	2015-02-23	2015-04-01	SAMEA103885294	HPSI1213i-nusw_2 derived macrophage day 37 with IFNg
nusw_C	16596_2#68	2288027	3226STDY6100872	2015-02-23	2015-04-01	SAMEA103885316	HPSI1213i-nusw_2 derived macrophage day 37 with salmonella
nusw_D	16596_2#69	2288028	3226STDY6100873	2015-02-23	2015-04-01	SAMEA103885342	HPSI1213i-nusw_2 derived macrophage day 37 with salmonella and IFNg
oefg_A	16596_2#70	2288029	3226STDY6100874	2015-03-20	2015-04-28	SAMEA103885194	HPSI0613i-oefg_2 derived macrophage day 39 untreated
oefg_B	16596_2#71	2288030	3226STDY6100875	2015-03-20	2015-04-28	SAMEA103884950	HPSI0613i-oefg_2 derived macrophage day 39 with IFNg
oefg_C	16596_2#72	2288031	3226STDY6100876	2015-03-20	2015-04-28	SAMEA103885055	HPSI0613i-oefg_2 derived macrophage day 39 with salmonella
oefg_D	16596_2#73	2288032	3226STDY6100877	2015-03-20	2015-04-28	SAMEA103885162	HPSI0613i-oefg_2 derived macrophage day 39 with salmonella and IFNg
eika_A	16667_1#74	2288033	3226STDY6100878	2015-03-05	2015-04-14	SAMEA103885227	HPSI0913i-eika_2 derived macrophage day 40 untreated
eika_B	16596_2#75	2288034	3226STDY6100879	2015-03-05	2015-04-14	SAMEA103885046	HPSI0913i-eika_2 derived macrophage day 40 with IFNg
eika_C	16596_2#76	2288035	3226STDY6100880	2015-03-05	2015-04-14	SAMEA103885318	HPSI0913i-eika_2 derived macrophage day 40 with salmonella
