sample_id	lanelet_id	sequencescape_id	sanger_id	diff_start	acLDL_date	accession	full_name
PELM_24h_AcLDL	18017_1#10	2390639	IPSC-M-CV6190113	2015-07-03	2015-08-04	SAMEA103885099	HPSI0214i-pelm_3 derived macrophage day 32 with LDL
PELM_24h_Ctrl	18017_1#9	2390638	IPSC-M-CV6190112	2015-07-03	2015-08-04	SAMEA103885230	HPSI0214i-pelm_3 derived macrophage day 32 untreated
PODX_24h_AcLDL	18017_1#12	2390641	IPSC-M-CV6190115	2015-06-26	2015-07-23	SAMEA103885303	HPSI1113i-podx_1 derived macrophage day 27 with LDL
PODX_24h_Ctrl	18017_1#11	2390640	IPSC-M-CV6190114	2015-06-26	2015-07-23	SAMEA103885386	HPSI1113i-podx_1 derived macrophage day 27 untreated
XUGN_24h_AcLDL	18017_1#24	2390653	IPSC-M-CV6190127	2015-06-11	2015-07-23	SAMEA103885278	HPSI0314i-xugn_1 derived macrophage day 42 with LDL
XUGN_24h_Ctrl	18017_1#23	2390652	IPSC-M-CV6190126	2015-06-11	2015-07-23	SAMEA103885357	HPSI0314i-xugn_1 derived macrophage day 42 untreated
OEVR_24h_Ctrl	18640_1#1	2477286	IPSC-M-CV6270835	2015-08-30	2015-10-08	SAMEA103884902	HPSI0114i-oevr_3 derived macrophage day 39 untreated
OEVR_24h_AcLDL	18640_1#2	2477287	IPSC-M-CV6270836	2015-08-30	2015-10-08	SAMEA103884947	HPSI0114i-oevr_3 derived macrophage day 39 with LDL
FAFQ_24h_Ctrl	18640_1#3	2477288	IPSC-M-CV6270837	2015-09-16	2015-10-14	SAMEA103884994	HPSI0314i-fafq_1 derived macrophage day 28 untreated
FAFQ_24h_AcLDL	18640_1#4	2477289	IPSC-M-CV6270838	2015-09-16	2015-10-14	SAMEA103884885	HPSI0314i-fafq_1 derived macrophage day 28 with LDL
HAYT_24h_Ctrl	18640_1#5	2477290	IPSC-M-CV6270839	2015-09-12	2015-10-14	SAMEA103885079	HPSI1113i-hayt_1 derived macrophage day 32 untreated
HAYT_24h_AcLDL	18640_1#6	2477291	IPSC-M-CV6270840	2015-09-12	2015-10-14	SAMEA103884953	HPSI1113i-hayt_1 derived macrophage day 32 with LDL
IILL_24h_Ctrl	18640_1#20	2477292	IPSC-M-CV6270841	2015-09-27	2015-10-19	SAMEA103885077	HPSI0813i-iill_1 derived macrophage day 22 untreated
IILL_24h_AcLDL	18640_1#7	2477293	IPSC-M-CV6270842	2015-09-27	2015-10-19	SAMEA103885274	HPSI0813i-iill_1 derived macrophage day 22 with LDL
SOJD_24h_Ctrl	18640_1#8	2477294	IPSC-M-CV6270843	2015-09-11	2015-10-19	SAMEA103885409	HPSI0314i-sojd_3 derived macrophage day 38 untreated
SOJD_24h_AcLDL	18640_1#9	2477295	IPSC-M-CV6270844	2015-09-11	2015-10-19	SAMEA103884884	HPSI0314i-sojd_3 derived macrophage day 38 with LDL
DIKU_24h_Ctrl	18640_1#10	2477296	IPSC-M-CV6270845	2015-10-15	2015-11-12	SAMEA103885247	HPSI0913i-diku_1 derived macrophage day 28 untreated
DIKU_24h_AcLDL	18640_1#11	2477297	IPSC-M-CV6270846	2015-10-15	2015-11-12	SAMEA103885047	HPSI0913i-diku_1 derived macrophage day 28 with LDL
GUSS_24h_Ctrl	18640_1#12	2477298	IPSC-M-CV6270847	2015-10-16	2015-11-17	SAMEA103884871	HPSI0813i-guss_1 derived macrophage day 32 untreated
GUSS_24h_AcLDL	18640_1#13	2477299	IPSC-M-CV6270848	2015-10-16	2015-11-17	SAMEA103885073	HPSI0813i-guss_1 derived macrophage day 32 with LDL
QAQX_24h_Ctrl	18640_1#14	2477300	IPSC-M-CV6270849	2015-10-01	2015-11-26	SAMEA103885156	HPSI0314i-qaqx_1 derived macrophage day 56 untreated
QAQX_24h_AcLDL	18640_1#15	2477301	IPSC-M-CV6270850	2015-10-01	2015-11-26	SAMEA103884931	HPSI0314i-qaqx_1 derived macrophage day 56 with LDL
ZAUI_24h_Ctrl	18640_1#16	2477302	IPSC-M-CV6270851	2015-10-11	2015-11-26	SAMEA103885351	HPSI0513i-zaui_3 derived macrophage day 46 untreated
ZAUI_24h_AcLDL	18640_1#17	2477303	IPSC-M-CV6270852	2015-10-11	2015-11-26	SAMEA103884973	HPSI0513i-zaui_3 derived macrophage day 46 with LDL
EIWY_24h_Ctrl	18640_1#18	2477304	IPSC-M-CV6270853	2015-10-23	2015-11-26	SAMEA103885235	HPSI0214i-eiwy_1 derived macrophage day 34 untreated
EIWY_24h_AcLDL	18640_1#19	2477305	IPSC-M-CV6270854	2015-10-23	2015-11-26	SAMEA103885399	HPSI0214i-eiwy_1 derived macrophage day 34 with LDL
NUKW_24h_Ctrl	18640_5#1	2477306	IPSC-M-CV6270855	2015-09-23	2015-10-29	SAMEA103885120	HPSI0613i-nukw_1 derived macrophage day 36 untreated
NUKW_24h_AcLDL	18640_5#2	2477307	IPSC-M-CV6270856	2015-09-23	2015-10-29	SAMEA103885223	HPSI0613i-nukw_1 derived macrophage day 36 with LDL
FIKT_24h_Ctrl	18640_5#5	2477310	IPSC-M-CV6270859	2015-10-03	2015-11-03	SAMEA103884997	HPSI0114i-fikt_3 derived macrophage day 31 untreated
FIKT_24h_AcLDL	18640_5#6	2477311	IPSC-M-CV6270860	2015-10-03	2015-11-03	SAMEA103885401	HPSI0114i-fikt_3 derived macrophage day 31 with LDL
COYI_24h_Ctrl	18640_5#8	2477314	IPSC-M-CV6270863	2015-09-30	2015-11-12	SAMEA103885264	HPSI0913i-coyi_3 derived macrophage day 43 untreated
COYI_24h_AcLDL	18640_5#9	2477315	IPSC-M-CV6270864	2015-09-30	2015-11-12	SAMEA103885091	HPSI0913i-coyi_3 derived macrophage day 43 with LDL
HEHD_24h_Ctrl	18640_5#12	2477318	IPSC-M-CV6270867	2015-09-30	2015-11-12	SAMEA103885141	HPSI1213i-hehd_2 derived macrophage day 43 untreated
HEHD_24h_AcLDL	18640_5#13	2477319	IPSC-M-CV6270868	2015-09-30	2015-11-12	SAMEA103884952	HPSI1213i-hehd_2 derived macrophage day 43 with LDL
QOLG_24h_Ctrl	18640_5#16	2477322	IPSC-M-CV6270871	2015-10-10	2015-11-12	SAMEA103885233	HPSI1113i-qolg_3 derived macrophage day 33 untreated
QOLG_24h_AcLDL	18640_5#17	2477323	IPSC-M-CV6270872	2015-10-10	2015-11-12	SAMEA103885210	HPSI1113i-qolg_3 derived macrophage day 33 with LDL
