line_id,replicate,ips_received,ips_started,passage_received,received_as,media,EB_formation,passage_diff,diff_start,MF_harvest,salmonella,ATAC,flow_date,medium_changes,terminated,extraction_date,rna_submit,library_pool,chemistry,status,comment
pahc_4,1,,10/03/2015,33,frozen,E8,28/03/2015,37,31/03/2015,29/04/2015,06/05/2015,06/05/2015,05/05/2015,9,12/05/2015,16/05/2015,26/05/2015,3226_RNAauto-260515,V4_auto,Success,Keep for Seabstian.
kolf_3,1,,10/03/2015,29,frozen,E8,28/03/2015,33,31/03/2015,07/05/2015,13/05/2015,,,9,20/05/2015,19/05/2015,26/05/2015,3226_RNAauto-260515,V4_auto,Success,
mijn_2,1,,09/03/2015,36,frozen,E8,29/03/2015,40,01/04/2015,07/05/2015,13/05/2015,,14/05/2015,12,15/05/2015,17/05/2015,26/05/2015,3226_RNAauto-260515,V4_auto,Success,Wrong line from HipSci.
veqz_6,1,,13/03/2015,27,frozen,E8,30/03/2015,31,02/04/2015,29/04/2015,06/05/2015,06/05/2015,05/05/2015,8,12/05/2015,19/05/2015,26/05/2015,3226_RNAauto-260515,V4_auto,Success,
xucm_3,1,,13/03/2015,29,frozen,E8,30/03/2015,33,02/04/2015,07/05/2015,13/05/2015,13/05/2015,14/05/2015,6,12/05/2015,16/05/2015,26/05/2015,3226_RNAauto-260515,V4_auto,Success,Keep for Seabstian.
fpdj_3,0,,,,frozen,KSR,03/02/2014,41,07/02/2014,,,,20/05/2014,15,26/05/2014,,,,,FC_QC_fail,
ffdk_1,1,19/03/2014,19/03/2014,18,alive,KSR,24/03/2014,19,27/03/2014,,,,20/05/2014,12,13/06/2014,,,,,FC_QC_fail,
uoxz_5,1,12/05/2014,21/05/2014,34,frozen,KSR,09/06/2014,37,13/06/2014,,,,,13,19/08/2014,,,,,Diff_fail,Too few MFs.
oarz_2,1,23/06/2014,23/06/2014,35,alive,KSR,30/06/2014,36,04/07/2014,14/08/2014,22/08/2014,,,9,27/08/2014,08/09/2014,,,,RNA_QC_fail,Sample A degraded. Did not sequence.
xekf_1,1,28/07/2014,28/07/2014,35,alive,KSR,01/08/2014,36,05/08/2014,,,,,,06/10/2014,,,,,Diff_fail,Infrequent MC
leeh_3,1,17/07/2014,29/07/2014,29,frozen,KSR,09/08/2014,32,13/08/2014,,,,,,06/10/2014,,,,,Diff_fail,Infrequent MC
gedo_3,1,17/07/2014,29/07/2014,28,frozen,KSR,10/08/2014,31,14/08/2014,,,,19/09/2014,,06/10/2014,,,,,FC_QC_fail,Contaminating cell type
vopm_2,1,06/08/2014,06/08/2014,38,alive,KSR,11/08/2014,39,15/08/2014,,,,,6,21/10/2014,,,,,Diff_fail,Too few MFs.
airc_2,1,17/07/2014,18/07/2014,25,frozen,KSR,12/08/2014,30,16/08/2014,,,,,,06/10/2014,,,,,Diff_fail,Infrequent MC
koun_2,1,17/07/2014,29/07/2014,25,frozen,KSR,26/08/2014,30,29/08/2014,,,,,,11/10/2014,,,,,Diff_fail,Infrequent MC
uoxz_5,2,17/09/2014,17/09/2014,55,alive,KSR,22/09/2014,56,26/09/2014,,,,,8,14/11/2014,,,,,Diff_fail,Very few and very large cells
iakz_1,1,19/08/2014,03/09/2014,27,frozen,KSR,23/09/2014,30,27/09/2014,,,,,6,31/10/2014,,,,,Diff_fail,EBs dissapeared.
uahf_3,1,19/08/2014,03/09/2014,31,frozen,KSR,29/09/2014,35,03/10/2014,,,,21/11/2014,11,28/11/2014,,,,,FC_QC_fail,
focm_1,1,01/10/2014,01/10/2014,45,alive,KSR,07/10/2014,46,11/10/2014,,,,,9,27/11/2014,,,,,Diff_fail,
riiv_1,1,06/10/2014,06/10/2014,32,alive,KSR,12/10/2014,33,16/10/2014,,,,21/11/2014,10,19/12/2014,07/12/2014,,,,Stimulation_fail,Not enough cells/RNA.
piun_3,1,06/10/2014,06/10/2014,38,alive,KSR,12/10/2014,39,16/10/2014,,,,04/12/2014,12,19/12/2014,,,,,Stimulation_fail,
babk_2,1,10/10/2014,10/10/2014,36,alive,E8,25/10/2014,38,29/10/2014,,,,16/12/2014,9,19/12/2014,,,,,Stimulation_fail,Cells looked weird.
xegx_2,1,24/10/2014,24/10/2014,29,alive,KSR,31/10/2014,30,04/11/2014,,,,,7,19/12/2014,,,,,Diff_fail,
bulb_1,1,24/10/2014,24/10/2014,33,alive,E8,07/11/2014,35,10/11/2014,,,,16/12/2014,7,19/12/2014,,,,,FC_QC_fail,Cells looked weird.
focm_1,2,01/10/2014,09/01/2015,46,frozen,KSR,27/01/2015,49,30/01/2015,,,,,6,09/03/2015,,,,,Diff_fail,
vopm_2,2,06/08/2014,09/01/2015,39,frozen,KSR,27/01/2015,42,30/01/2015,,,,,6,09/03/2015,,,,,Diff_fail,
piun_3,2,06/10/2014,09/01/2015,39,frozen,KSR,28/01/2015,42,31/01/2015,,,,02/04/2015,10,07/04/2015,,,,,FC_QC_fail,
koun_2,2,17/07/2014,13/01/2015,31,frozen,KSR,28/01/2015,33,31/01/2015,,,,,6,09/03/2015,,,,,Diff_fail,
iakz_1,2,19/08/2014,09/01/2015,31,frozen,KSR,29/01/2015,34,01/02/2015,,,,,7,09/03/2015,,,,,Diff_fail,
bulb_1,2,24/10/2014,09/01/2015,35,frozen,KSR,30/01/2015,38,02/02/2015,,,,,5,09/03/2015,,,,,Diff_fail,
leeh_3,2,17/07/2014,13/01/2015,32,frozen,KSR,30/01/2015,36,02/02/2015,,,,,5,09/03/2015,,,,,Diff_fail,
xegx_2,2,24/10/2014,21/01/2015,30,frozen,KSR,08/02/2015,33,11/02/2015,,,,,5,09/03/2015,,,,,Diff_fail,
cuhk_2,1,,04/02/2015,27,frozen,E8,17/02/2015,31,20/02/2015,,,,,9,02/04/2015,,,,,Diff_fail,
nekd_1,1,06/11/2014,02/02/2015,32,alive/frozen,KSR,27/02/2015,37,02/03/2015,,,,,6,07/04/2015,,,,,Diff_fail,
ruql_3,1,,23/02/2015,24,frozen,E8,13/03/2015,28,16/03/2015,,,,,11,15/05/2015,,,,,Diff_fail,
xavk_3,1,,23/02/2015,22,frozen,E8,17/03/2015,26,20/03/2015,,,,28/04/2015,6,27/04/2015,,,,,FC_QC_fail,Contaminating cell type
robp_3,1,,09/03/2015,36,frozen,E8,27/03/2015,40,30/03/2015,,,,,7,06/05/2015,,,,,Diff_fail,
dard_2,1,,13/03/2015,35,frozen,E8,27/03/2015,39,30/03/2015,,,,,12,20/05/2015,,,,,FC_QC_fail,Contaminating cell type
sebz_1,1,,10/03/2015,44,frozen,E8,30/03/2015,48,02/04/2015,,,,14/05/2015,8,15/05/2015,,,,,Diff_fail,
