# fpdl and eofe samples were done with one well per condition, need to double the RNA concentration.
# gomv_3 D condition had 21.5 ul of RNA before measuring concentration, hence the very high value.
# aipt A was done on a different day, only use samples B-D to estimate mean concentration.
# oarz samples from 08/09/14 not sequenced, because oarz A was degraded.
# ffdk samples not sequenced, becuase of low purity (~80% CD14 positive)
# zuta 6/11/14 not submitted because of low RNA purity
# oeoo 22/9/14 not submitted because too high RNA concentration
# riiv and meqo not subimtted because of low concentration
# ieki A,B only one well per condition
# dium (ougl_X_2) 1 well per sample for all conditions
# ruyv_C concentration after clean-up, lost par of the sample (5/24/2015)
# pelm 1 well per sample
sample_name	sample_id	User ID	Date 	Time 	ng/ul 	A260 	A280 	260/280 	260/230 	Constant 	Cursor Pos.	Cursor abs.	340 raw
xugn A	xugn_A	Default	8/18/2015	6:26 PM	168.66	4.217	2.059	2.05	1.92	40.00	230	2.199	0.012
xugn B	xugn_B	Default	8/18/2015	6:27 PM	94.26	2.357	1.151	2.05	2.03	40.00	230	1.160	0.001
xugn C	xugn_C	Default	8/18/2015	6:28 PM	108.30	2.708	1.323	2.05	1.85	40.00	230	1.462	0.009
xugn D	xugn_D	Default	8/18/2015	6:29 PM	135.26	3.382	1.657	2.04	1.84	40.00	230	1.843	0.005
oapg A	oapg_A	Default	8/18/2015	6:30 PM	121.03	3.026	1.478	2.05	1.87	40.00	230	1.619	0.001
oapg B	oapg_B	Default	8/18/2015	6:30 PM	156.49	3.912	1.918	2.04	1.96	40.00	230	2.000	0.009
oapg C	oapg_C	Default	8/18/2015	6:31 PM	42.59	1.065	0.534	1.99	1.53	40.00	230	0.694	0.001
oapg D	oapg_D	Default	8/18/2015	6:32 PM	92.35	2.309	1.143	2.02	2.03	40.00	230	1.137	-0.016
pelm A	pelm_A	Default	8/26/2015	6:03 PM	47.35	1.184	0.571	2.07	1.92	40.00	230	0.617	0.014
pelm B	pelm_B	Default	8/26/2015	6:06 PM	73.83	1.846	0.901	2.05	1.79	40.00	230	1.030	-0.021
pelm C	pelm_C	Default	8/26/2015	6:07 PM	51.50	1.288	0.636	2.03	1.52	40.00	230	0.845	-0.022
pelm D	pelm_D	Default	8/26/2015	6:07 PM	26.20	0.655	0.321	2.04	1.64	40.00	230	0.401	-0.023
nemb A	nemb_A	Default	8/26/2015	6:08 PM	161.10	4.027	1.968	2.05	1.86	40.00	230	2.170	-0.008
nemb B	nemb_B	Default	8/26/2015	6:09 PM	190.52	4.763	2.313	2.06	2.03	40.00	230	2.346	-0.011
nemb C	nemb_C	Default	8/26/2015	6:10 PM	133.58	3.339	1.620	2.06	2.12	40.00	230	1.577	-0.026
nemb D	nemb_D	Default	8/26/2015	6:11 PM	157.08	3.927	1.919	2.05	1.93	40.00	230	2.033	-0.020
